Date,Global_active_power,Sub_metering_3
2006-12-16,1209.1760000000006,4926.0
2006-12-17,3390.46,13341.0
2006-12-18,2203.8259999999964,14018.0
2006-12-19,1666.1940000000006,6197.0
2006-12-20,2225.747999999999,14063.0
2006-12-21,1716.6239999999993,10421.0
2006-12-22,2341.3379999999993,11131.0
2006-12-23,4773.385999999998,14726.0
2006-12-24,2550.012000000007,6891.0
2006-12-25,2743.1200000000053,5795.0
2006-12-26,3934.11,14979.0
2006-12-27,1528.7600000000004,6976.0
2006-12-28,2072.638,9176.0
2006-12-29,3174.3919999999966,11329.0
2006-12-30,2789.3020000000015,12480.0
2006-12-31,3494.1959999999995,6502.0
2007-01-01,2749.004000000016,5880.0
2007-01-02,1824.76,13145.0
2007-01-03,517.5640000000016,1980.0
2007-01-04,2785.952000000006,19509.0
2007-01-05,1663.8579999999988,8546.0
2007-01-06,1044.9179999999985,7664.0
2007-01-07,1026.6639999999995,4690.0
2007-01-08,1060.3380000000018,9812.0
2007-01-09,1701.4859999999994,9733.0
2007-01-10,1720.9219999999993,5960.0
2007-01-11,496.21600000000046,1991.0
2007-01-12,3134.942000000002,17847.0
2007-01-13,3186.813999999998,11341.0
2007-01-14,3007.815999999998,12975.0
2007-01-15,2148.677999999998,15163.0
2007-01-16,1686.4039999999998,6583.0
2007-01-17,2847.6879999999987,16064.0
2007-01-18,1821.4620000000011,13491.0
2007-01-19,1480.4400000000028,7172.0
2007-01-20,3133.7319999999963,11440.0
2007-01-21,3407.261999999998,11599.0
2007-01-22,2180.494,11361.0
2007-01-23,1777.6400000000003,5061.0
2007-01-24,2987.853999999998,11744.0
2007-01-25,1596.3439999999975,11239.0
2007-01-26,1617.9719999999984,8238.0
2007-01-27,2044.0720000000008,12374.0
2007-01-28,3090.203999999989,12045.0
2007-01-29,1982.6640000000002,15254.0
2007-01-30,1707.7979999999984,8149.0
2007-01-31,2363.7520000000013,15052.0
2007-02-01,1269.2360000000006,6562.0
2007-02-02,1667.7359999999976,11338.0
2007-02-03,515.6880000000006,1969.0
2007-02-04,1960.7780000000037,16641.0
2007-02-05,1003.4860000000006,3754.0
2007-02-06,1484.361999999998,7633.0
2007-02-07,967.0319999999984,3445.0
2007-02-08,1019.4159999999983,6869.0
2007-02-09,1662.467999999999,8806.0
2007-02-10,2198.8639999999923,12815.0
2007-02-11,1443.601999999999,12245.0
2007-02-12,2946.1879999999965,10636.0
2007-02-13,1414.5460000000003,6256.0
2007-02-14,2498.6719999999964,11579.0
2007-02-15,1985.3459999999977,14028.0
2007-02-16,1702.5279999999975,8689.0
2007-02-17,2076.9120000000025,7157.0
2007-02-18,3829.762000000007,13129.0
2007-02-19,2186.6139999999978,13085.0
2007-02-20,3149.928000000004,9713.0
2007-02-21,2072.8740000000025,11548.0
2007-02-22,3369.4779999999955,12251.0
2007-02-23,1313.4800000000025,10786.0
2007-02-24,714.9220000000016,3562.0
2007-02-25,501.74000000000103,1660.0
2007-02-26,568.484,2830.0
2007-02-27,518.1119999999974,1924.0
2007-02-28,520.774000000001,1973.0
2007-03-01,1014.0540000000005,4765.0
